,Approximate Salary,Count of Jobs in that salary range,Category
2368,60000,0,TV/film/theatre set designer
2369,140000,0,TV/film/theatre set designer
2370,100000,0,TV/film/theatre set designer
2371,120000,0,TV/film/theatre set designer
2372,40000,0,TV/film/theatre set designer
2373,120000,18,UX designer
2374,60000,9,UX designer
2375,80000,14,UX designer
2376,40000,5,UX designer
2377,100000,13,UX designer
2378,140000,11,UX designer
2379,20000,2,UX designer
2380,80000,2,Validation engineer
2381,140000,1,Validation engineer
2382,20000,2,Validation engineer
2383,60000,4,Validation engineer
2384,120000,5,Validation engineer
2385,40000,2,Validation engineer
2386,100000,6,Validation engineer
2387,20000,0,Veterinary nurse
2388,120000,0,Veterinary nurse
2389,60000,0,Veterinary nurse
2390,140000,0,Veterinary nurse
2391,100000,0,Veterinary nurse
2392,40000,0,Veterinary nurse
2393,80000,0,Veterinary nurse
2394,60000,0,Veterinary surgeon
2395,100000,0,Veterinary surgeon
2396,120000,0,Veterinary surgeon
2397,80000,1,Veterinary surgeon
2398,20000,0,Veterinary surgeon
2399,140000,0,Veterinary surgeon
2400,40000,0,Veterinary surgeon
2401,140000,0,Video game designer
2402,100000,0,Video game designer
2403,20000,0,Video game designer
2404,80000,0,Video game designer
2405,60000,0,Video game designer
2406,120000,0,Video game designer
2407,40000,0,Video game designer
2408,60000,0,Video game developer
2409,80000,1,Video game developer
2410,40000,0,Video game developer
2411,120000,1,Video game developer
2412,140000,0,Video game developer
2413,20000,0,Video game developer
2414,100000,1,Video game developer
2415,80000,0,Volunteer work organiser: Job description Warehouse manager
2416,20000,0,Volunteer work organiser: Job description Warehouse manager
2417,60000,0,Volunteer work organiser: Job description Warehouse manager
2418,100000,0,Volunteer work organiser: Job description Warehouse manager
2419,140000,0,Volunteer work organiser: Job description Warehouse manager
2420,40000,0,Volunteer work organiser: Job description Warehouse manager
2421,120000,0,Volunteer work organiser: Job description Warehouse manager
2422,140000,0,Waste management officer
2423,20000,0,Waste management officer
2424,80000,0,Waste management officer
2425,60000,0,Waste management officer
2426,40000,0,Waste management officer
2427,120000,0,Waste management officer
2428,100000,0,Waste management officer
2429,100000,0,Water conservation officer
2430,60000,0,Water conservation officer
2431,20000,1,Water conservation officer
2432,140000,0,Water conservation officer
2433,40000,0,Water conservation officer
2434,80000,0,Water conservation officer
2435,120000,0,Water conservation officer
2436,40000,1,Water engineer
2437,80000,9,Water engineer
2438,60000,5,Water engineer
2439,120000,6,Water engineer
2440,20000,0,Water engineer
2441,140000,1,Water engineer
2442,100000,4,Water engineer
2443,140000,10,Web designer
2444,100000,11,Web designer
2445,20000,10,Web designer
2446,80000,14,Web designer
2447,60000,13,Web designer
2448,120000,23,Web designer
2449,40000,11,Web designer
2450,60000,23,Web developer
2451,20000,8,Web developer
2452,80000,53,Web developer
2453,120000,71,Web developer
2454,40000,17,Web developer
2455,100000,63,Web developer
2456,140000,54,Web developer
2457,140000,0,Welfare rights adviser
2458,20000,0,Welfare rights adviser
2459,80000,0,Welfare rights adviser
2460,60000,0,Welfare rights adviser
2461,100000,0,Welfare rights adviser
2462,120000,0,Welfare rights adviser
2463,40000,0,Welfare rights adviser
2464,140000,20,Writer
2465,100000,39,Writer
2466,20000,261,Writer
2467,80000,73,Writer
2468,60000,140,Writer
2469,120000,29,Writer
2470,40000,173,Writer
2471,20000,11,Youth worker
2472,140000,0,Youth worker
2473,100000,0,Youth worker
2474,60000,0,Youth worker
2475,40000,2,Youth worker
2476,80000,0,Youth worker
2477,120000,0,Youth worker
